embedding_index,id,label,label_name,source,chrom,start,end,split
34,test_000034,0,background,random_background_test,chr19,10505191,10505491,test
35,test_000035,1,promoter,promoter,chr19,6772770,6773070,test
36,test_000036,1,promoter,promoter,chr19,18022162,18022462,test
37,test_000037,1,promoter,promoter,chr21,31840332,31840632,test
38,test_000038,1,promoter,promoter,chr21,37366833,37367133,test
39,test_000039,1,promoter,promoter,chr22,43343286,43343586,test
40,test_000040,0,background,random_background_test,chr21,11877009,11877309,test
41,test_000041,1,promoter,promoter,chr22,22043544,22043844,test
42,test_000042,0,background,random_background_test,chr20,20871277,20871577,test
43,test_000043,1,promoter,promoter,chr20,2873638,2873938,test
44,test_000044,1,promoter,promoter,chr19,46746332,46746632,test
45,test_000045,0,background,random_background_test,chr21,28384105,28384405,test
46,test_000046,1,promoter,promoter,chr20,324395,324695,test
47,test_000047,0,background,random_background_test,chr19,30564983,30565283,test
48,test_000048,0,background,random_background_test,chr20,49467576,49467876,test
49,test_000049,1,promoter,promoter,chr19,12751717,12752017,test
50,test_000050,0,background,random_background_test,chr20,37052829,37053129,test
51,test_000051,1,promoter,promoter,chr20,63547631,63547931,test
52,test_000052,0,background,random_background_test,chr20,7199286,7199586,test
53,test_000053,0,background,random_background_test,chr19,19957079,19957379,test
54,test_000054,1,promoter,promoter,chr20,47785351,47785651,test
55,test_000055,1,promoter,promoter,chr20,63009122,63009422,test
56,test_000056,1,promoter,promoter,chr21,32021551,32021851,test
57,test_000057,0,background,random_background_test,chr19,22870508,22870808,test
58,test_000058,1,promoter,promoter,chr20,46901678,46901978,test
59,test_000059,0,background,random_background_test,chr20,25740570,25740870,test
60,test_000060,1,promoter,promoter,chr20,43450917,43451217,test
61,test_000061,1,promoter,promoter,chr22,42130507,42130807,test
62,test_000062,1,promoter,promoter,chr19,46601915,46602215,test
63,test_000063,0,background,random_background_test,chr20,41061499,41061799,test
64,test_000064,0,background,random_background_test,chr22,32404652,32404952,test
65,test_000065,1,promoter,promoter,chr22,24005489,24005789,test
66,test_000066,1,promoter,promoter,chr21,36135123,36135423,test
67,test_000067,1,promoter,promoter,chr19,42937031,42937331,test
68,test_000068,1,promoter,promoter,chr20,44209776,44210076,test
69,test_000069,1,promoter,promoter,chr19,35628782,35629082,test
70,test_000070,0,background,random_background_test,chr19,7031672,7031972,test
71,test_000071,1,promoter,promoter,chr20,32581763,32582063,test
72,test_000072,1,promoter,promoter,chr21,43924732,43925032,test
73,test_000073,1,promoter,promoter,chr21,16588478,16588778,test
74,test_000074,0,background,random_background_test,chr21,24618873,24619173,test
75,test_000075,0,background,random_background_test,chr22,18730697,18730997,test
76,test_000076,1,promoter,promoter,chr20,10435032,10435332,test
77,test_000077,1,promoter,promoter,chr19,53909095,53909395,test
78,test_000078,0,background,random_background_test,chr20,39172396,39172696,test
79,test_000079,0,background,random_background_test,chr20,36285147,36285447,test
80,test_000080,0,background,random_background_test,chr21,18624908,18625208,test
81,test_000081,0,background,random_background_test,chr19,55939911,55940211,test
82,test_000082,0,background,random_background_test,chr19,43818140,43818440,test
83,test_000083,1,promoter,promoter,chr19,13116315,13116615,test
84,test_000084,1,promoter,promoter,chr19,49877814,49878114,test
85,test_000085,1,promoter,promoter,chr19,53521327,53521627,test
86,test_000086,0,background,random_background_test,chr19,47908444,47908744,test
87,test_000087,0,background,random_background_test,chr19,30073410,30073710,test
88,test_000088,0,background,random_background_test,chr19,42659230,42659530,test
89,test_000089,1,promoter,promoter,chr20,17226737,17227037,test
90,test_000090,0,background,random_background_test,chr19,6951947,6952247,test
91,test_000091,0,background,random_background_test,chr20,56837273,56837573,test
92,test_000092,1,promoter,promoter,chr22,32203323,32203623,test
93,test_000093,0,background,random_background_test,chr20,48240898,48241198,test
94,test_000094,0,background,random_background_test,chr22,13749867,13750167,test
95,test_000095,1,promoter,promoter,chr19,1377400,1377700,test
96,test_000096,0,background,random_background_test,chr19,46930899,46931199,test
97,test_000097,1,promoter,promoter,chr19,51271134,51271434,test
98,test_000098,0,background,random_background_test,chr19,37233600,37233900,test
99,test_000099,1,promoter,promoter,chr19,18612728,18613028,test
100,test_000100,1,promoter,promoter,chr19,51594594,51594894,test
101,test_000101,0,background,random_background_test,chr20,9463934,9464234,test
102,test_000102,1,promoter,promoter,chr19,45001199,45001499,test
103,test_000103,0,background,random_background_test,chr19,8674114,8674414,test
104,test_000104,0,background,random_background_test,chr20,18757112,18757412,test
105,test_000105,1,promoter,promoter,chr20,62238567,62238867,test
106,test_000106,1,promoter,promoter,chr19,10551969,10552269,test
107,test_000107,0,background,random_background_test,chr20,2139618,2139918,test
108,test_000108,0,background,random_background_test,chr21,36693879,36694179,test
109,test_000109,1,promoter,promoter,chr19,32972316,32972616,test
110,test_000110,0,background,random_background_test,chr22,48760239,48760539,test
111,test_000111,1,promoter,promoter,chr19,8445011,8445311,test
112,test_000112,0,background,random_background_test,chr20,60110441,60110741,test
113,test_000113,0,background,random_background_test,chr20,11194325,11194625,test
114,test_000114,0,background,random_background_test,chr22,24127758,24128058,test
115,test_000115,1,promoter,promoter,chr19,56368027,56368327,test
116,test_000116,1,promoter,promoter,chr19,8389371,8389671,test
117,test_000117,0,background,random_background_test,chr19,26265366,26265666,test
118,test_000118,0,background,random_background_test,chr22,11800489,11800789,test
119,test_000119,1,promoter,promoter,chr20,63894819,63895119,test
120,test_000120,0,background,random_background_test,chr22,16847879,16848179,test
121,test_000121,0,background,random_background_test,chr20,4342081,4342381,test
122,test_000122,0,background,random_background_test,chr22,13665884,13666184,test
123,test_000123,0,background,random_background_test,chr20,7302770,7303070,test
124,test_000124,1,promoter,promoter,chr19,45468115,45468415,test
125,test_000125,0,background,random_background_test,chr22,40052624,40052924,test
126,test_000126,1,promoter,promoter,chr19,49474530,49474830,test
127,test_000127,0,background,random_background_test,chr20,62444932,62445232,test
128,test_000128,0,background,random_background_test,chr22,48185098,48185398,test
129,test_000129,1,promoter,promoter,chr19,14380908,14381208,test
130,test_000130,0,background,random_background_test,chr20,31649335,31649635,test
131,test_000131,1,promoter,promoter,chr20,57266560,57266860,test
132,test_000132,1,promoter,promoter,chr19,29715370,29715670,test
133,test_000133,0,background,random_background_test,chr20,38185632,38185932,test
134,test_000134,1,promoter,promoter,chr19,54242740,54243040,test
135,test_000135,1,promoter,promoter,chr21,10413377,10413677,test
136,test_000136,1,promoter,promoter,chr19,35154537,35154837,test
137,test_000137,0,background,random_background_test,chr20,45132976,45133276,test
138,test_000138,0,background,random_background_test,chr20,34583975,34584275,test
139,test_000139,1,promoter,promoter,chr20,62220188,62220488,test
140,test_000140,1,promoter,promoter,chr19,53521010,53521310,test
141,test_000141,1,promoter,promoter,chr19,40403809,40404109,test
142,test_000142,0,background,random_background_test,chr19,53150139,53150439,test
143,test_000143,1,promoter,promoter,chr19,14518195,14518495,test
144,test_000144,0,background,random_background_test,chr20,3264204,3264504,test
145,test_000145,1,promoter,promoter,chr21,28992528,28992828,test
146,test_000146,1,promoter,promoter,chr19,4910374,4910674,test
147,test_000147,1,promoter,promoter,chr19,18735415,18735715,test
148,test_000148,0,background,random_background_test,chr20,15289469,15289769,test
149,test_000149,0,background,random_background_test,chr22,24425964,24426264,test
150,test_000150,1,promoter,promoter,chr22,44625101,44625401,test
151,test_000151,0,background,random_background_test,chr19,29027380,29027680,test
152,test_000152,0,background,random_background_test,chr19,4069196,4069496,test
153,test_000153,1,promoter,promoter,chr19,8444731,8445031,test
154,test_000154,1,promoter,promoter,chr19,35248532,35248832,test
155,test_000155,1,promoter,promoter,chr20,1118405,1118705,test
156,test_000156,0,background,random_background_test,chr22,33389316,33389616,test
157,test_000157,1,promoter,promoter,chr19,43269386,43269686,test
158,test_000158,0,background,random_background_test,chr21,11711448,11711748,test
159,test_000159,0,background,random_background_test,chr21,5314037,5314337,test
160,test_000160,1,promoter,promoter,chr19,1275748,1276048,test
161,test_000161,0,background,random_background_test,chr21,21368733,21369033,test
162,test_000162,1,promoter,promoter,chr19,40991126,40991426,test
163,test_000163,0,background,random_background_test,chr19,50794186,50794486,test
164,test_000164,1,promoter,promoter,chr19,45340558,45340858,test
165,test_000165,1,promoter,promoter,chr19,13836034,13836334,test
166,test_000166,1,promoter,promoter,chr20,2470456,2470756,test
167,test_000167,0,background,random_background_test,chr20,30327290,30327590,test
168,test_000168,0,background,random_background_test,chr19,25874033,25874333,test
169,test_000169,0,background,random_background_test,chr21,6022575,6022875,test
170,test_000170,0,background,random_background_test,chr19,40670425,40670725,test
171,test_000171,0,background,random_background_test,chr19,37969393,37969693,test
172,test_000172,0,background,random_background_test,chr22,43353262,43353562,test
173,test_000173,0,background,random_background_test,chr20,2095374,2095674,test
174,test_000174,0,background,random_background_test,chr22,45101055,45101355,test
175,test_000175,0,background,random_background_test,chr20,32117008,32117308,test
176,test_000176,1,promoter,promoter,chr19,41531150,41531450,test
177,test_000177,1,promoter,promoter,chr20,49713795,49714095,test
178,test_000178,1,promoter,promoter,chr21,16011290,16011590,test
179,test_000179,0,background,random_background_test,chr19,6880485,6880785,test
180,test_000180,1,promoter,promoter,chr21,37365628,37365928,test
181,test_000181,0,background,random_background_test,chr19,23544880,23545180,test
182,test_000182,0,background,random_background_test,chr21,43300235,43300535,test
183,test_000183,0,background,random_background_test,chr22,45956761,45957061,test
184,test_000184,0,background,random_background_test,chr22,35318850,35319150,test
185,test_000185,0,background,random_background_test,chr22,31052338,31052638,test
186,test_000186,1,promoter,promoter,chr22,39900911,39901211,test
187,test_000187,0,background,random_background_test,chr22,15436366,15436666,test
188,test_000188,0,background,random_background_test,chr21,16060673,16060973,test
189,test_000189,1,promoter,promoter,chr21,34614361,34614661,test
190,test_000190,1,promoter,promoter,chr20,49915391,49915691,test
191,test_000191,1,promoter,promoter,chr20,45408053,45408353,test
192,test_000192,0,background,random_background_test,chr20,47817943,47818243,test
193,test_000193,1,promoter,promoter,chr20,15985898,15986198,test
194,test_000194,1,promoter,promoter,chr19,32971955,32972255,test
195,test_000195,0,background,random_background_test,chr22,29289307,29289607,test
196,test_000196,1,promoter,promoter,chr22,37519331,37519631,test
197,test_000197,1,promoter,promoter,chr20,13638872,13639172,test
198,test_000198,1,promoter,promoter,chr19,56567368,56567668,test
199,test_000199,0,background,random_background_test,chr22,18762881,18763181,test
200,test_000200,1,promoter,promoter,chr20,25407498,25407798,test
201,test_000201,1,promoter,promoter,chr19,38256510,38256810,test
202,test_000202,0,background,random_background_test,chr22,36957198,36957498,test
203,test_000203,1,promoter,promoter,chr19,39441349,39441649,test
204,test_000204,1,promoter,promoter,chr20,10431591,10431891,test
205,test_000205,0,background,random_background_test,chr19,47998386,47998686,test
206,test_000206,0,background,random_background_test,chr19,37739509,37739809,test
207,test_000207,0,background,random_background_test,chr21,41208881,41209181,test
208,test_000208,1,promoter,promoter,chr19,23914949,23915249,test
209,test_000209,0,background,random_background_test,chr20,26554752,26555052,test
210,test_000210,1,promoter,promoter,chr19,3029455,3029755,test
211,test_000211,1,promoter,promoter,chr22,37967565,37967865,test
212,test_000212,1,promoter,promoter,chr22,41946372,41946672,test
213,test_000213,1,promoter,promoter,chr19,19740837,19741137,test
214,test_000214,1,promoter,promoter,chr20,63553926,63554226,test
215,test_000215,1,promoter,promoter,chr19,37507932,37508232,test
216,test_000216,0,background,random_background_test,chr21,24632278,24632578,test
217,test_000217,0,background,random_background_test,chr21,11513771,11514071,test
218,test_000218,0,background,random_background_test,chr19,39293922,39294222,test
219,test_000219,1,promoter,promoter,chr19,49512496,49512796,test
220,test_000220,1,promoter,promoter,chr22,33657172,33657472,test
221,test_000221,1,promoter,promoter,chr19,9362902,9363202,test
222,test_000222,1,promoter,promoter,chr22,36862886,36863186,test
223,test_000223,1,promoter,promoter,chr19,35756924,35757224,test
224,test_000224,0,background,random_background_test,chr20,56922008,56922308,test
225,test_000225,1,promoter,promoter,chr19,54199839,54200139,test
226,test_000226,0,background,random_background_test,chr20,33780274,33780574,test
227,test_000227,1,promoter,promoter,chr22,41286221,41286521,test
228,test_000228,1,promoter,promoter,chr19,18441387,18441687,test
229,test_000229,0,background,random_background_test,chr20,46447294,46447594,test
230,test_000230,1,promoter,promoter,chr19,56477937,56478237,test
231,test_000231,0,background,random_background_test,chr20,17375627,17375927,test
232,test_000232,1,promoter,promoter,chr19,37334473,37334773,test
233,test_000233,0,background,random_background_test,chr20,64329629,64329929,test
234,test_000234,1,promoter,promoter,chr20,49280115,49280415,test
235,test_000235,1,promoter,promoter,chr19,54434185,54434485,test
236,test_000236,0,background,random_background_test,chr19,39772984,39773284,test
237,test_000237,0,background,random_background_test,chr20,21352143,21352443,test
238,test_000238,0,background,random_background_test,chr21,41488116,41488416,test
239,test_000239,1,promoter,promoter,chr21,46319172,46319472,test
240,test_000240,1,promoter,promoter,chr19,49665748,49666048,test
241,test_000241,1,promoter,promoter,chr22,18110237,18110537,test
242,test_000242,0,background,random_background_test,chr21,5719128,5719428,test
243,test_000243,0,background,random_background_test,chr20,36401680,36401980,test
244,test_000244,0,background,random_background_test,chr22,17886586,17886886,test
245,test_000245,1,promoter,promoter,chr19,38385349,38385649,test
246,test_000246,0,background,random_background_test,chr22,40512553,40512853,test
247,test_000247,1,promoter,promoter,chr19,40466681,40466981,test
248,test_000248,1,promoter,promoter,chr19,13796753,13797053,test
249,test_000249,1,promoter,promoter,chr20,36461787,36462087,test
250,test_000250,1,promoter,promoter,chr20,20267757,20268057,test
251,test_000251,1,promoter,promoter,chr19,54190106,54190406,test
252,test_000252,1,promoter,promoter,chr19,41882975,41883275,test
253,test_000253,1,promoter,promoter,chr20,41028523,41028823,test
254,test_000254,1,promoter,promoter,chr19,14979352,14979652,test
255,test_000255,0,background,random_background_test,chr20,53998858,53999158,test
256,test_000256,0,background,random_background_test,chr20,40437739,40438039,test
257,test_000257,0,background,random_background_test,chr20,34755925,34756225,test
258,test_000258,1,promoter,promoter,chr20,50191459,50191759,test
259,test_000259,0,background,random_background_test,chr20,58230420,58230720,test
260,test_000260,1,promoter,promoter,chr19,14072500,14072800,test
261,test_000261,0,background,random_background_test,chr19,21025987,21026287,test
262,test_000262,1,promoter,promoter,chr21,13937289,13937589,test
263,test_000263,1,promoter,promoter,chr20,32780332,32780632,test
264,test_000264,1,promoter,promoter,chr22,38110536,38110836,test
265,test_000265,1,promoter,promoter,chr19,1285769,1286069,test
266,test_000266,0,background,random_background_test,chr20,51787704,51788004,test
267,test_000267,1,promoter,promoter,chr22,24554890,24555190,test
268,test_000268,1,promoter,promoter,chr19,32345702,32346002,test
269,test_000269,1,promoter,promoter,chr22,31140371,31140671,test
270,test_000270,1,promoter,promoter,chr20,54068360,54068660,test
271,test_000271,1,promoter,promoter,chr19,53775569,53775869,test
272,test_000272,0,background,random_background_test,chr22,29439568,29439868,test
273,test_000273,1,promoter,promoter,chr22,42500417,42500717,test
274,test_000274,0,background,random_background_test,chr19,22602039,22602339,test
275,test_000275,0,background,random_background_test,chr21,42334504,42334804,test
276,test_000276,1,promoter,promoter,chr22,50738112,50738412,test
277,test_000277,0,background,random_background_test,chr22,31580882,31581182,test
278,test_000278,0,background,random_background_test,chr20,26151811,26152111,test
279,test_000279,0,background,random_background_test,chr19,50186757,50187057,test
280,test_000280,0,background,random_background_test,chr19,19314575,19314875,test
281,test_000281,1,promoter,promoter,chr22,21652767,21653067,test
282,test_000282,1,promoter,promoter,chr22,19291660,19291960,test
283,test_000283,1,promoter,promoter,chr20,45546117,45546417,test
284,test_000284,0,background,random_background_test,chr22,33489065,33489365,test
285,test_000285,1,promoter,promoter,chr19,58550323,58550623,test
286,test_000286,0,background,random_background_test,chr21,13799050,13799350,test
287,test_000287,0,background,random_background_test,chr20,24356525,24356825,test
288,test_000288,1,promoter,promoter,chr21,36466274,36466574,test
289,test_000289,1,promoter,promoter,chr20,3796096,3796396,test
290,test_000290,0,background,random_background_test,chr20,55033005,55033305,test
291,test_000291,1,promoter,promoter,chr20,2656124,2656424,test
292,test_000292,1,promoter,promoter,chr19,22010846,22011146,test
293,test_000293,0,background,random_background_test,chr21,26092267,26092567,test
294,test_000294,1,promoter,promoter,chr19,46303320,46303620,test
295,test_000295,0,background,random_background_test,chr22,39764200,39764500,test
296,test_000296,1,promoter,promoter,chr19,37548794,37549094,test
297,test_000297,1,promoter,promoter,chr20,47989926,47990226,test
298,test_000298,0,background,random_background_test,chr22,25832648,25832948,test
299,test_000299,0,background,random_background_test,chr20,32217897,32218197,test
300,test_000300,0,background,random_background_test,chr20,29130401,29130701,test
301,test_000301,0,background,random_background_test,chr19,21123743,21124043,test
302,test_000302,1,promoter,promoter,chr19,55385685,55385985,test
303,test_000303,1,promoter,promoter,chr19,35031035,35031335,test
304,test_000304,1,promoter,promoter,chr19,58003200,58003500,test
305,test_000305,0,background,random_background_test,chr19,15688875,15689175,test
306,test_000306,1,promoter,promoter,chr22,20437708,20438008,test
307,test_000307,0,background,random_background_test,chr19,43384101,43384401,test
308,test_000308,0,background,random_background_test,chr19,1187386,1187686,test
309,test_000309,1,promoter,promoter,chr20,543662,543962,test
310,test_000310,0,background,random_background_test,chr22,26112592,26112892,test
311,test_000311,0,background,random_background_test,chr20,12755761,12756061,test
312,test_000312,1,promoter,promoter,chr19,42152305,42152605,test
313,test_000313,0,background,random_background_test,chr19,7825570,7825870,test
314,test_000314,1,promoter,promoter,chr20,63216123,63216423,test
315,test_000315,0,background,random_background_test,chr21,25440315,25440615,test
316,test_000316,0,background,random_background_test,chr19,52531727,52532027,test
317,test_000317,0,background,random_background_test,chr20,7437099,7437399,test
318,test_000318,1,promoter,promoter,chr19,30029782,30030082,test
319,test_000319,0,background,random_background_test,chr21,11348196,11348496,test
320,test_000320,1,promoter,promoter,chr20,24948997,24949297,test
321,test_000321,0,background,random_background_test,chr19,53782649,53782949,test
322,test_000322,0,background,random_background_test,chr19,7240580,7240880,test
323,test_000323,1,promoter,promoter,chr21,25561719,25562019,test
324,test_000324,0,background,random_background_test,chr22,32593619,32593919,test
325,test_000325,1,promoter,promoter,chr19,22596323,22596623,test
326,test_000326,1,promoter,promoter,chr21,40382806,40383106,test
327,test_000327,0,background,random_background_test,chr19,41015282,41015582,test
328,test_000328,1,promoter,promoter,chr22,38655998,38656298,test
329,test_000329,1,promoter,promoter,chr22,23145186,23145486,test
330,test_000330,1,promoter,promoter,chr22,17266578,17266878,test
331,test_000331,0,background,random_background_test,chr22,44760276,44760576,test
332,test_000332,0,background,random_background_test,chr21,45153877,45154177,test
333,test_000333,0,background,random_background_test,chr19,42839641,42839941,test
334,test_000334,1,promoter,promoter,chr19,15232934,15233234,test
335,test_000335,0,background,random_background_test,chr20,57260755,57261055,test
336,test_000336,1,promoter,promoter,chr22,26169545,26169845,test
337,test_000337,1,promoter,promoter,chr22,37032886,37033186,test
338,test_000338,1,promoter,promoter,chr22,19478952,19479252,test
339,test_000339,1,promoter,promoter,chr22,42644308,42644608,test
340,test_000340,0,background,random_background_test,chr22,17897278,17897578,test
341,test_000341,1,promoter,promoter,chr21,41879211,41879511,test
342,test_000342,0,background,random_background_test,chr19,13679263,13679563,test
343,test_000343,0,background,random_background_test,chr20,55639891,55640191,test
344,test_000344,0,background,random_background_test,chr20,31334768,31335068,test
345,test_000345,0,background,random_background_test,chr20,3100578,3100878,test
346,test_000346,1,promoter,promoter,chr19,53555364,53555664,test
347,test_000347,0,background,random_background_test,chr21,11269133,11269433,test
348,test_000348,1,promoter,promoter,chr20,2692859,2693159,test
349,test_000349,0,background,random_background_test,chr19,5880679,5880979,test
350,test_000350,0,background,random_background_test,chr19,48851868,48852168,test
351,test_000351,1,promoter,promoter,chr21,15442032,15442332,test
352,test_000352,1,promoter,promoter,chr19,49641865,49642165,test
353,test_000353,1,promoter,promoter,chr19,41219093,41219393,test
354,test_000354,1,promoter,promoter,chr19,34364503,34364803,test
355,test_000355,1,promoter,promoter,chr20,44475950,44476250,test
356,test_000356,1,promoter,promoter,chr19,15232314,15232614,test
357,test_000357,0,background,random_background_test,chr20,21186765,21187065,test
358,test_000358,1,promoter,promoter,chr21,17900998,17901298,test
359,test_000359,0,background,random_background_test,chr19,42109897,42110197,test
360,test_000360,1,promoter,promoter,chr20,2840522,2840822,test
361,test_000361,1,promoter,promoter,chr19,17470539,17470839,test
362,test_000362,1,promoter,promoter,chr19,23914664,23914964,test
363,test_000363,1,promoter,promoter,chr20,25082012,25082312,test
364,test_000364,1,promoter,promoter,chr22,30105107,30105407,test
365,test_000365,0,background,random_background_test,chr22,14947144,14947444,test
366,test_000366,0,background,random_background_test,chr20,19691375,19691675,test
367,test_000367,1,promoter,promoter,chr20,35490889,35491189,test
368,test_000368,0,background,random_background_test,chr21,40636606,40636906,test
369,test_000369,0,background,random_background_test,chr21,30627273,30627573,test
370,test_000370,0,background,random_background_test,chr20,53565880,53566180,test
371,test_000371,1,promoter,promoter,chr20,32762635,32762935,test
372,test_000372,0,background,random_background_test,chr20,1742084,1742384,test
373,test_000373,1,promoter,promoter,chr19,16612251,16612551,test
374,test_000374,0,background,random_background_test,chr20,11405029,11405329,test
375,test_000375,1,promoter,promoter,chr19,49453318,49453618,test
376,test_000376,0,background,random_background_test,chr20,54297455,54297755,test
377,test_000377,1,promoter,promoter,chr19,7676893,7677193,test
378,test_000378,0,background,random_background_test,chr21,8034778,8035078,test
379,test_000379,0,background,random_background_test,chr20,2560229,2560529,test
380,test_000380,0,background,random_background_test,chr20,50334094,50334394,test
381,test_000381,1,promoter,promoter,chr19,12162888,12163188,test
382,test_000382,0,background,random_background_test,chr22,50690819,50691119,test
383,test_000383,1,promoter,promoter,chr19,21851977,21852277,test
384,test_000384,0,background,random_background_test,chr19,46239384,46239684,test
385,test_000385,0,background,random_background_test,chr20,16468524,16468824,test
386,test_000386,1,promoter,promoter,chr21,26966743,26967043,test
387,test_000387,0,background,random_background_test,chr20,36796669,36796969,test
388,test_000388,1,promoter,promoter,chr22,41621828,41622128,test
389,test_000389,0,background,random_background_test,chr19,31715446,31715746,test
390,test_000390,1,promoter,promoter,chr19,57709107,57709407,test
391,test_000391,1,promoter,promoter,chr19,40771506,40771806,test
392,test_000392,1,promoter,promoter,chr20,64057194,64057494,test
393,test_000393,0,background,random_background_test,chr20,51877012,51877312,test
394,test_000394,0,background,random_background_test,chr20,4323944,4324244,test
395,test_000395,1,promoter,promoter,chr19,51693301,51693601,test
396,test_000396,0,background,random_background_test,chr20,62095252,62095552,test
397,test_000397,0,background,random_background_test,chr20,11082510,11082810,test
398,test_000398,1,promoter,promoter,chr19,58229313,58229613,test
399,test_000399,0,background,random_background_test,chr22,39270401,39270701,test
400,test_000400,1,promoter,promoter,chr20,34558457,34558757,test
401,test_000401,0,background,random_background_test,chr21,12907569,12907869,test
402,test_000402,0,background,random_background_test,chr19,1864727,1865027,test
403,test_000403,0,background,random_background_test,chr20,20763140,20763440,test
404,test_000404,0,background,random_background_test,chr22,41875180,41875480,test
405,test_000405,1,promoter,promoter,chr22,50481350,50481650,test
406,test_000406,0,background,random_background_test,chr20,42747525,42747825,test
407,test_000407,1,promoter,promoter,chr21,44697192,44697492,test
408,test_000408,0,background,random_background_test,chr22,25452315,25452615,test
409,test_000409,0,background,random_background_test,chr21,31164669,31164969,test
410,test_000410,0,background,random_background_test,chr22,36123691,36123991,test
411,test_000411,1,promoter,promoter,chr19,39032199,39032499,test
412,test_000412,0,background,random_background_test,chr19,48433830,48434130,test
413,test_000413,0,background,random_background_test,chr19,46972683,46972983,test
414,test_000414,0,background,random_background_test,chr22,37113868,37114168,test
415,test_000415,1,promoter,promoter,chr19,10587162,10587462,test
416,test_000416,1,promoter,promoter,chr20,4684820,4685120,test
417,test_000417,1,promoter,promoter,chr22,31107301,31107601,test
418,test_000418,0,background,random_background_test,chr21,9298258,9298558,test
419,test_000419,1,promoter,promoter,chr22,38700893,38701193,test
420,test_000420,1,promoter,promoter,chr22,22070060,22070360,test
421,test_000421,0,background,random_background_test,chr19,29319165,29319465,test
422,test_000422,1,promoter,promoter,chr19,22518143,22518443,test
423,test_000423,0,background,random_background_test,chr20,17601648,17601948,test
424,test_000424,1,promoter,promoter,chr20,35226669,35226969,test
425,test_000425,1,promoter,promoter,chr19,35090822,35091122,test
426,test_000426,1,promoter,promoter,chr22,36775908,36776208,test
427,test_000427,0,background,random_background_test,chr20,16337092,16337392,test
428,test_000428,1,promoter,promoter,chr22,19667032,19667332,test
429,test_000429,0,background,random_background_test,chr19,24730804,24731104,test
430,test_000430,1,promoter,promoter,chr19,50812512,50812812,test
431,test_000431,0,background,random_background_test,chr20,25798816,25799116,test
432,test_000432,1,promoter,promoter,chr20,4171505,4171805,test
433,test_000433,0,background,random_background_test,chr20,1807272,1807572,test
434,test_000434,0,background,random_background_test,chr20,6216460,6216760,test
435,test_000435,1,promoter,promoter,chr22,40856568,40856868,test
436,test_000436,1,promoter,promoter,chr20,35455353,35455653,test
437,test_000437,0,background,random_background_test,chr19,39381691,39381991,test
438,test_000438,1,promoter,promoter,chr22,20111637,20111937,test
439,test_000439,1,promoter,promoter,chr21,42315395,42315695,test
440,test_000440,1,promoter,promoter,chr19,3606996,3607296,test
441,test_000441,0,background,random_background_test,chr20,61029991,61030291,test
442,test_000442,1,promoter,promoter,chr20,15196542,15196842,test
443,test_000443,0,background,random_background_test,chr19,50002197,50002497,test
444,test_000444,1,promoter,promoter,chr21,42496574,42496874,test
445,test_000445,0,background,random_background_test,chr21,39089921,39090221,test
446,test_000446,0,background,random_background_test,chr20,28323761,28324061,test
447,test_000447,1,promoter,promoter,chr19,14529690,14529990,test
448,test_000448,1,promoter,promoter,chr19,21396903,21397203,test
449,test_000449,1,promoter,promoter,chr20,3043942,3044242,test
